cost_burden,household_income,county,value
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Monroe County,765.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Monroe County,1080.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Monroe County,2555.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Monroe County,2465.0
Unburdened (Less than 30%),80+% AMI,Monroe County,35660.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Monroe County,1205.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Monroe County,6385.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Monroe County,1905.0
Severly Cost Burdened (50% or more),80+% AMI,Montcalm County,35.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Montcalm County,1485.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Montcalm County,275.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Montcalm County,600.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Montcalm County,365.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Montcalm County,315.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Montcalm County,1255.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Montcalm County,1015.0
Unburdened (Less than 30%),80+% AMI,Montcalm County,13135.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Montcalm County,680.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Montcalm County,3085.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Montcalm County,1050.0
Severly Cost Burdened (50% or more),80+% AMI,Montmorency County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Montmorency County,215.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Montmorency County,65.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Montmorency County,160.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Montmorency County,45.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Montmorency County,85.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Montmorency County,170.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Montmorency County,135.0
Unburdened (Less than 30%),80+% AMI,Montmorency County,2151.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Montmorency County,105.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Montmorency County,705.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Montmorency County,270.0
Severly Cost Burdened (50% or more),80+% AMI,Muskegon County,200.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Muskegon County,4115.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Muskegon County,500.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Muskegon County,2040.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Muskegon County,1050.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Muskegon County,1060.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Muskegon County,3465.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Muskegon County,2670.0
Unburdened (Less than 30%),80+% AMI,Muskegon County,38230.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Muskegon County,1995.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Muskegon County,6945.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Muskegon County,2310.0
Severly Cost Burdened (50% or more),80+% AMI,Newaygo County,35.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Newaygo County,1245.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Newaygo County,280.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Newaygo County,620.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Newaygo County,345.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Newaygo County,430.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Newaygo County,680.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Newaygo County,730.0
Unburdened (Less than 30%),80+% AMI,Newaygo County,10575.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Newaygo County,630.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Newaygo County,2240.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Newaygo County,900.0
Severly Cost Burdened (50% or more),80+% AMI,Oakland County,1945.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Oakland County,28555.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Oakland County,8460.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Oakland County,15720.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Oakland County,8720.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Oakland County,4250.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Oakland County,22825.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Oakland County,14370.0
Unburdened (Less than 30%),80+% AMI,Oakland County,324465.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Oakland County,9915.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Oakland County,33635.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Oakland County,9840.0
Severly Cost Burdened (50% or more),80+% AMI,Oceana County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Oceana County,645.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Oceana County,95.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Oceana County,270.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Oceana County,115.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Oceana County,135.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Oceana County,385.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Oceana County,355.0
Unburdened (Less than 30%),80+% AMI,Oceana County,5745.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Oceana County,260.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Oceana County,1410.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Oceana County,570.0
Severly Cost Burdened (50% or more),80+% AMI,Ogemaw County,20.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Ogemaw County,575.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Ogemaw County,140.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Ogemaw County,335.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Ogemaw County,175.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Ogemaw County,105.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Ogemaw County,445.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Ogemaw County,515.0
Unburdened (Less than 30%),80+% AMI,Ogemaw County,4516.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Ogemaw County,335.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Ogemaw County,1530.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Ogemaw County,435.0
Severly Cost Burdened (50% or more),80+% AMI,Ontonagon County,0.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Ontonagon County,170.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Ontonagon County,20.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Ontonagon County,75.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Ontonagon County,25.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Ontonagon County,35.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Ontonagon County,120.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Ontonagon County,90.0
Unburdened (Less than 30%),80+% AMI,Ontonagon County,1471.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Ontonagon County,150.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Ontonagon County,490.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Ontonagon County,205.0
Severly Cost Burdened (50% or more),80+% AMI,Osceola County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Osceola County,570.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Osceola County,95.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Osceola County,230.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Osceola County,155.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Osceola County,180.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Osceola County,385.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Osceola County,360.0
Unburdened (Less than 30%),80+% AMI,Osceola County,4775.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Osceola County,340.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Osceola County,1210.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Osceola County,655.0
Severly Cost Burdened (50% or more),80+% AMI,Oscoda County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Oscoda County,255.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Oscoda County,50.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Oscoda County,170.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Oscoda County,65.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Oscoda County,70.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Oscoda County,160.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Oscoda County,115.0
Unburdened (Less than 30%),80+% AMI,Oscoda County,1970.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Oscoda County,140.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Oscoda County,525.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Oscoda County,250.0
Severly Cost Burdened (50% or more),80+% AMI,Otsego County,25.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Otsego County,465.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Otsego County,90.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Otsego County,230.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Otsego County,200.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Otsego County,70.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Otsego County,555.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Otsego County,400.0
Unburdened (Less than 30%),80+% AMI,Otsego County,5935.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Otsego County,160.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Otsego County,1045.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Otsego County,455.0
Severly Cost Burdened (50% or more),80+% AMI,Ottawa County,85.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Ottawa County,5470.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Ottawa County,965.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Ottawa County,2055.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Ottawa County,880.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Ottawa County,1155.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Ottawa County,4000.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Ottawa County,4250.0
Unburdened (Less than 30%),80+% AMI,Ottawa County,61315.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Ottawa County,1590.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Ottawa County,13535.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Ottawa County,4750.0
Severly Cost Burdened (50% or more),80+% AMI,Presque Isle County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Presque Isle County,280.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Presque Isle County,60.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Presque Isle County,125.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Presque Isle County,30.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Presque Isle County,100.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Presque Isle County,205.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Presque Isle County,205.0
Unburdened (Less than 30%),80+% AMI,Presque Isle County,3285.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Presque Isle County,195.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Presque Isle County,800.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Presque Isle County,400.0
Severly Cost Burdened (50% or more),80+% AMI,Roscommon County,15.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Roscommon County,795.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Roscommon County,110.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Roscommon County,405.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Roscommon County,185.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Roscommon County,195.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Roscommon County,535.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Roscommon County,520.0
Unburdened (Less than 30%),80+% AMI,Roscommon County,5450.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Roscommon County,390.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Roscommon County,1470.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Roscommon County,635.0
Severly Cost Burdened (50% or more),80+% AMI,Saginaw County,190.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Saginaw County,5950.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Saginaw County,1015.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Saginaw County,2460.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Saginaw County,1300.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Saginaw County,1365.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Saginaw County,3975.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Saginaw County,3565.0
Unburdened (Less than 30%),80+% AMI,Saginaw County,44880.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Saginaw County,2245.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Saginaw County,8090.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Saginaw County,2200.0
Severly Cost Burdened (50% or more),80+% AMI,Sanilac County,40.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Sanilac County,1000.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Sanilac County,140.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Sanilac County,465.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Sanilac County,220.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Sanilac County,280.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Sanilac County,720.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Sanilac County,785.0
Unburdened (Less than 30%),80+% AMI,Sanilac County,9690.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Sanilac County,625.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Sanilac County,2210.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Sanilac County,740.0
Severly Cost Burdened (50% or more),80+% AMI,Schoolcraft County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Schoolcraft County,210.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Schoolcraft County,25.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Schoolcraft County,75.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Schoolcraft County,45.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Schoolcraft County,65.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Schoolcraft County,125.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Schoolcraft County,250.0
Unburdened (Less than 30%),80+% AMI,Schoolcraft County,1720.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Schoolcraft County,155.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Schoolcraft County,425.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Schoolcraft County,175.0
Severly Cost Burdened (50% or more),80+% AMI,Shiawassee County,40.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Shiawassee County,1295.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Shiawassee County,325.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Shiawassee County,595.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Shiawassee County,435.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Shiawassee County,300.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Shiawassee County,1175.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Shiawassee County,1285.0
Unburdened (Less than 30%),80+% AMI,Shiawassee County,17365.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Shiawassee County,470.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Shiawassee County,3060.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Shiawassee County,940.0
Severly Cost Burdened (50% or more),80+% AMI,St. Clair County,45.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),St. Clair County,4580.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),St. Clair County,595.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),St. Clair County,1775.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,St. Clair County,925.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),St. Clair County,1355.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),St. Clair County,2855.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),St. Clair County,2670.0
Unburdened (Less than 30%),80+% AMI,St. Clair County,35445.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),St. Clair County,1715.0
Unburdened (Less than 30%),Low Income (51-80% AMI),St. Clair County,8535.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),St. Clair County,3150.0
Severly Cost Burdened (50% or more),80+% AMI,St. Joseph County,55.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),St. Joseph County,1410.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),St. Joseph County,265.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),St. Joseph County,570.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,St. Joseph County,290.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),St. Joseph County,280.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),St. Joseph County,1050.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),St. Joseph County,855.0
Unburdened (Less than 30%),80+% AMI,St. Joseph County,14295.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),St. Joseph County,495.0
Unburdened (Less than 30%),Low Income (51-80% AMI),St. Joseph County,2850.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),St. Joseph County,1095.0
Severly Cost Burdened (50% or more),80+% AMI,Tuscola County,25.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Tuscola County,1400.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Tuscola County,265.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Tuscola County,640.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Tuscola County,315.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Tuscola County,300.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Tuscola County,950.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Tuscola County,840.0
Unburdened (Less than 30%),80+% AMI,Tuscola County,12560.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Tuscola County,565.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Tuscola County,2720.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Tuscola County,685.0
Severly Cost Burdened (50% or more),80+% AMI,Van Buren County,55.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Van Buren County,1620.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Van Buren County,385.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Van Buren County,665.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Van Buren County,465.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Van Buren County,550.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Van Buren County,1315.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Van Buren County,1290.0
Unburdened (Less than 30%),80+% AMI,Van Buren County,16570.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Van Buren County,850.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Van Buren County,3370.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Van Buren County,1425.0
Severly Cost Burdened (50% or more),80+% AMI,Washtenaw County,265.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Washtenaw County,14010.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Washtenaw County,1785.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Washtenaw County,4510.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Washtenaw County,2395.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Washtenaw County,2500.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Washtenaw County,6620.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Washtenaw County,6025.0
Unburdened (Less than 30%),80+% AMI,Washtenaw County,76675.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Washtenaw County,3840.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Washtenaw County,14065.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Washtenaw County,4590.0
Severly Cost Burdened (50% or more),80+% AMI,Wayne County,925.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Wayne County,80105.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Wayne County,6795.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Wayne County,22960.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Wayne County,8390.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Wayne County,18490.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Wayne County,33105.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Wayne County,35040.0
Unburdened (Less than 30%),80+% AMI,Wayne County,313075.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Wayne County,36985.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Wayne County,78750.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Wayne County,32245.0
Severly Cost Burdened (50% or more),80+% AMI,Wexford County,20.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Wexford County,860.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Wexford County,115.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Wexford County,390.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Wexford County,195.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Wexford County,250.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Wexford County,645.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Wexford County,455.0
Unburdened (Less than 30%),80+% AMI,Wexford County,7010.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Wexford County,365.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Wexford County,1800.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Wexford County,725.0
